,primary_sector,count,sum,category_list,main_sector,value
179,Direct Sales,5,16350341.0,Direct Sales,"News, Search and Messaging",1
180,Discounts,8,74473279.0,Discounts,"Social, Finance, Analytics, Advertising",1
181,Displays,8,123183000.0,Displays,Manufacturing,1
182,Disruptive Models,1,9200000.0,Disruptive Models,Cleantech / Semiconductors,1
183,Distribution,16,208441675.0,Distribution,Others,1
184,Distributors,6,35725891.0,Distributors,Others,1
185,Doctors,18,171855002.0,Doctors,Health,1
186,Domains,11,126960000.0,Domains,"News, Search and Messaging",1
187,Drones,10,230150000.0,Drones,Automotive & Sports,1
188,E-Books,10,78860000.0,E-Books,Entertainment,1
189,E-Commerce,885,10554540815.0,E-Commerce,Others,1
190,E-Commerce Platforms,9,35405725.0,E-Commerce Platforms,Others,1
191,EBooks,1,6000000.0,EBooks,Entertainment,1
192,EDA Tools,2,18500986.0,EDA Tools,Others,1
193,Early-Stage Technology,2,2950000.0,Early-Stage Technology,Cleantech / Semiconductors,1
194,EdTech,154,2166855763.0,EdTech,Others,1
195,Ediscovery,18,114124285.0,Ediscovery,Others,1
196,Education,264,3568310153.0,Education,Others,1
197,Edutainment,0,0.0,Edutainment,Entertainment,1
198,Elder Care,4,173781803.0,Elder Care,Health,1
199,Electric Vehicles,3,14862152.0,Electric Vehicles,Automotive & Sports,1
200,Electrical Distribution,17,104478035.0,Electrical Distribution,Manufacturing,1
201,Electronic Health Records,28,352450572.0,Electronic Health Records,Health,1
202,Electronics,80,718787363.0,Electronics,Manufacturing,1
203,Email,35,233607450.0,Email,"News, Search and Messaging",1
204,Email Marketing,8,45876279.0,Email Marketing,"Social, Finance, Analytics, Advertising",1
205,Embedded Hardware and Software,2,26000000.0,Embedded Hardware and Software,Manufacturing,1
206,Emerging Markets,3,20480000.0,Emerging Markets,Others,1
207,Employer Benefits Programs,21,238087291.0,Employer Benefits Programs,"Social, Finance, Analytics, Advertising",1
208,Employment,13,163100000.0,Employment,Others,1
209,Energy,66,1827831579.0,Energy,Cleantech / Semiconductors,1
